community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
225,46,mid,moderate_entry_barrier,Medical Surgical Assistant,"['patient care', 'clerical functions', 'customer service']","['coordinate', 'maintain']",high,1.0,1.0,1.0,1.0,3,"nurse, assistant, surgical, medical, registered, care, patient, prn, med, surg, surgery, flor","[{""community_id"": 225, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Surgical Assistant"", ""defining_skills"": [""patient care"", ""clerical functions"", ""customer service""], ""defining_responsibility_signals"": [""coordinate"", ""maintain""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 225, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Surgical Assistant\"", \""defining_skills\"": [\""patient care\"", \""clerical functions\"", \""customer service\""], \""defining_responsibility_signals\"": [\""coordinate\"", \""maintain\""] , \""confidence\"": \""high\""}""}, {""community_id"": 225, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Surgical Assistant"", ""defining_skills"": [""patient care"", ""clerical functions"", ""customer service""], ""defining_responsibility_signals"": [""coordinate"", ""maintain""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 225, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Surgical Assistant\"", \""defining_skills\"": [\""patient care\"", \""clerical functions\"", \""customer service\""], \""defining_responsibility_signals\"": [\""coordinate\"", \""maintain\""] , \""confidence\"": \""high\""}""}, {""community_id"": 225, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Medical Surgical Assistant"", ""defining_skills"": [""patient care"", ""clerical functions"", ""customer service""], ""defining_responsibility_signals"": [""coordinate unit duties"", ""greet patients/visitors""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 225, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Medical Surgical Assistant\"", \""defining_skills\"": [\""patient care\"", \""clerical functions\"", \""customer service\""], \""defining_responsibility_signals\"": [\""coordinate unit duties\"", \""greet patients/visitors\""] , \""confidence\"": \""high\""}""}]",10
226,46,mid,moderate_entry_barrier,Account Management,"['account management', 'client relationship', 'strategic planning']","['client facing', 'enterprise level']",high,1.0,1.0,0.667,0.889,3,"account, enterprise, specialist, executive, manager, senior, spectrum, consultant, strategic, client, healthcare, commercial","[{""community_id"": 226, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Account Management"", ""defining_skills"": [""account management"", ""client relationship"", ""strategic planning""], ""defining_responsibility_signals"": [""client facing"", ""enterprise level""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 226, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Account Management\"", \""defining_skills\"": [\""account management\"", \""client relationship\"", \""strategic planning\""], \""defining_responsibility_signals\"": [\""client facing\"", \""enterprise level\""] , \""confidence\"": \""high\""}""}, {""community_id"": 226, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Account Specialist"", ""defining_skills"": [""account management"", ""client relations"", ""healthcare industry knowledge""], ""defining_responsibility_signals"": [""strategic planning"", ""consulting services""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 226, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Account Specialist\"", \""defining_skills\"": [\""account management\"", \""client relations\"", \""healthcare industry knowledge\""], \""defining_responsibility_signals\"": [\""strategic planning\"", \""consulting services\""] , \""confidence\"": \""high\""}""}, {""community_id"": 226, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Account Management"", ""defining_skills"": [""account management"", ""client relationship"", ""strategic planning""], ""defining_responsibility_signals"": [""leadership"", ""consulting""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 226, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Account Management\"", \""defining_skills\"": [\""account management\"", \""client relationship\"", \""strategic planning\""], \""defining_responsibility_signals\"": [\""leadership\"", \""consulting\""] , \""confidence\"": \""high\""}""}]",10
227,46,mid,moderate_entry_barrier,Production Supervisor,"['shift management', 'team leadership', 'production goal achievement']","['leadership', 'certification']",high,1.0,1.0,1.0,1.0,3,"supervisor, production, shift, safety, coordinator, operator, specialist, starting, 3rd, manager, hour, off","[{""community_id"": 227, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Production Supervisor"", ""defining_skills"": [""team leadership"", ""production goal achievement"", ""food manufacturing experience""], ""defining_responsibility_signals"": [""leading teams"", ""reaching production goals""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 227, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Production Supervisor\"", \""defining_skills\"": [\""team leadership\"", \""production goal achievement\"", \""food manufacturing experience\""], \""defining_responsibility_signals\"": [\""leading teams\"", \""reaching production goals\""] , \""confidence\"": \""high\""}""}, {""community_id"": 227, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Production Supervisor"", ""defining_skills"": [""shift management"", ""safety coordination"", ""operator supervision""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 227, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Production Supervisor\"", \""defining_skills\"": [\""shift management\"", \""safety coordination\"", \""operator supervision\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 227, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Production Supervisor"", ""defining_skills"": [""shift management"", ""safety protocols"", ""operator coordination""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 227, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Production Supervisor\"", \""defining_skills\"": [\""shift management\"", \""safety protocols\"", \""operator coordination\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",10
228,46,mid,moderate_entry_barrier,Talent Acquisition,"['recruiting', 'strategy', 'operations']","['leadership', 'global_team_management']",high,1.0,1.0,1.0,1.0,3,"talent, acquisition, specialist, manager, senior, recruiter, coordinator, director, development, business, partner, operations","[{""community_id"": 228, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Talent Acquisition"", ""defining_skills"": [""strategy"", ""operations"", ""initiative_implementation""], ""defining_responsibility_signals"": [""leadership"", ""global_team_management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 228, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Talent Acquisition\"", \""defining_skills\"": [\""strategy\"", \""operations\"", \""initiative_implementation\""], \""defining_responsibility_signals\"": [\""leadership\"", \""global_team_management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 228, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Talent Acquisition"", ""defining_skills"": [""recruiting"", ""partnering"", ""hiring_management""], ""defining_responsibility_signals"": [""lead full-cycle recruiting"", ""identify key characteristics""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 228, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Talent Acquisition\"", \""defining_skills\"": [\""recruiting\"", \""partnering\"", \""hiring_management\""], \""defining_responsibility_signals\"": [\""lead full-cycle recruiting\"", \""identify key characteristics\""] , \""confidence\"": \""high\""}""}, {""community_id"": 228, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Talent Acquisition"", ""defining_skills"": [""recruiting"", ""team_management"", ""process_improvement""], ""defining_responsibility_signals"": [""partners_with_leaders"", ""implements_recruiting_processes""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 228, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Talent Acquisition\"", \""defining_skills\"": [\""recruiting\"", \""team_management\"", \""process_improvement\""], \""defining_responsibility_signals\"": [\""partners_with_leaders\"", \""implements_recruiting_processes\""] , \""confidence\"": \""high\""}""}]",10
229,46,mid,moderate_entry_barrier,Mental Health Therapists,"['Licensed Therapist', 'Clinical Experience', 'Telehealth']","['Remote Work', 'Client Referrals']",high,1.0,1.0,1.0,1.0,3,"licensed, therapist, health, mental, lcsw, counselor, clinical, lmft, talk, professional, social, lpc","[{""community_id"": 229, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Mental Health Therapists"", ""defining_skills"": [""Licensed Therapist"", ""Clinical Experience"", ""Telehealth""], ""defining_responsibility_signals"": [""Remote Work"", ""Client Referrals""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 229, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Mental Health Therapists\"", \""defining_skills\"": [\""Licensed Therapist\"", \""Clinical Experience\"", \""Telehealth\""], \""defining_responsibility_signals\"": [\""Remote Work\"", \""Client Referrals\""] , \""confidence\"": \""high\""}""}, {""community_id"": 229, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Mental Health Therapists"", ""defining_skills"": [""Licensed Therapist"", ""Clinical Experience"", ""Telehealth""], ""defining_responsibility_signals"": [""Provide Therapy Sessions"", ""Mix of Telehealth and Face-to-Face""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 229, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Mental Health Therapists\"", \""defining_skills\"": [\""Licensed Therapist\"", \""Clinical Experience\"", \""Telehealth\""], \""defining_responsibility_signals\"": [\""Provide Therapy Sessions\"", \""Mix of Telehealth and Face-to-Face\""] , \""confidence\"": \""high\""}""}, {""community_id"": 229, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Mental Health Therapists"", ""defining_skills"": [""licensed"", ""clinical"", ""counseling""], ""defining_responsibility_signals"": [""work_with_adolescents"", ""relocation""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 229, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Mental Health Therapists\"", \""defining_skills\"": [\""licensed\"", \""clinical\"", \""counseling\""], \""defining_responsibility_signals\"": [\""work_with_adolescents\"", \""relocation\""] , \""confidence\"": \""high\""}""}]",10
230,45,mid,moderate_entry_barrier,Data & Analytics,"['Data Analysis', 'Database Management', 'Data Transformation']","['Manage Data Architecture Projects', 'Collaborate with Data Teams']",high,1.0,1.0,0.333,0.778,3,"data, analyst, database, scientist, developer, technical, transformation, clearance, security, analytics, compliance, master","[{""community_id"": 230, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data & Analytics"", ""defining_skills"": [""Data Analysis"", ""Database Management"", ""Data Transformation""], ""defining_responsibility_signals"": [""Manage Data Architecture Projects"", ""Collaborate with Data Teams""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 230, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data & Analytics\"", \""defining_skills\"": [\""Data Analysis\"", \""Database Management\"", \""Data Transformation\""], \""defining_responsibility_signals\"": [\""Manage Data Architecture Projects\"", \""Collaborate with Data Teams\""] , \""confidence\"": \""high\""}""}, {""community_id"": 230, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data Analysts & Developers"", ""defining_skills"": [""Data Analysis"", ""Database Management"", ""Data Visualization""], ""defining_responsibility_signals"": [""Data Transformation"", ""Compliance & Security""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 230, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data Analysts & Developers\"", \""defining_skills\"": [\""Data Analysis\"", \""Database Management\"", \""Data Visualization\""], \""defining_responsibility_signals\"": [\""Data Transformation\"", \""Compliance & Security\""] , \""confidence\"": \""high\""}""}, {""community_id"": 230, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data Scientist - Cybersecurity"", ""defining_skills"": [""data analysis"", ""cybersecurity"", ""AI/ML""], ""defining_responsibility_signals"": [""subject matter expert"", ""advisor to management""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 230, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data Scientist - Cybersecurity\"", \""defining_skills\"": [\""data analysis\"", \""cybersecurity\"", \""AI/ML\""], \""defining_responsibility_signals\"": [\""subject matter expert\"", \""advisor to management\""] , \""confidence\"": \""high\""}""}]",10
231,45,senior,moderate_entry_barrier,Senior Software Engineers,"['cloud', 'golang', 'data engineering']","['leadership', 'technical platform development']",high,0.667,1.0,0.667,0.778,3,"lead, engineer, software, cloud, developer, development, senior, technical, platform, golang, stack, credit","[{""community_id"": 231, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Cloud & Data Engineer"", ""defining_skills"": [""cloud"", ""data engineering"", ""golang""], ""defining_responsibility_signals"": [""leadership"", ""technical platform development""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 231, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Cloud & Data Engineer\"", \""defining_skills\"": [\""cloud\"", \""data engineering\"", \""golang\""], \""defining_responsibility_signals\"": [\""leadership\"", \""technical platform development\""] , \""confidence\"": \""high\""}""}, {""community_id"": 231, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior Software Engineers"", ""defining_skills"": [""cloud"", ""golang"", ""platform""], ""defining_responsibility_signals"": [""leadership"", ""partnership""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 231, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior Software Engineers\"", \""defining_skills\"": [\""cloud\"", \""golang\"", \""platform\""], \""defining_responsibility_signals\"": [\""leadership\"", \""partnership\""] , \""confidence\"": \""high\""}""}, {""community_id"": 231, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior Software Engineers"", ""defining_skills"": [""cloud"", ""golang"", ""full_stack""], ""defining_responsibility_signals"": [""leadership"", ""complex_problem_solving""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 231, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior Software Engineers\"", \""defining_skills\"": [\""cloud\"", \""golang\"", \""full_stack\""], \""defining_responsibility_signals\"": [\""leadership\"", \""complex_problem_solving\""] , \""confidence\"": \""high\""}""}]",10
232,45,junior,moderate_entry_barrier,Night Shift Hospitality,"['customer_service', 'reservation_management', 'reporting']","['front_desk_operation', 'night_audit_work']",high,1.0,1.0,1.0,1.0,3,"night, auditor, shift, custodian, 2nd, janitor, housekeeper, sanitation, environmental, services, school, 2023","[{""community_id"": 232, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Night Shift Hospitality"", ""defining_skills"": [""Guest Management"", ""Front Desk Operation"", ""Night Audit""], ""defining_responsibility_signals"": [""Prepare Daily Reports"", ""Balance Transactions""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 232, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Night Shift Hospitality\"", \""defining_skills\"": [\""Guest Management\"", \""Front Desk Operation\"", \""Night Audit\""], \""defining_responsibility_signals\"": [\""Prepare Daily Reports\"", \""Balance Transactions\""] , \""confidence\"": \""high\""}""}, {""community_id"": 232, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Night Shift Hospitality"", ""defining_skills"": [""customer_service"", ""reservation_management"", ""reporting""], ""defining_responsibility_signals"": [""front_desk_operation"", ""night_audit_work""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 232, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Night Shift Hospitality\"", \""defining_skills\"": [\""customer_service\"", \""reservation_management\"", \""reporting\""], \""defining_responsibility_signals\"": [\""front_desk_operation\"", \""night_audit_work\""] , \""confidence\"": \""high\""}""}, {""community_id"": 232, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Night Shift Hospitality"", ""defining_skills"": [""customer_service"", ""reservation_management"", ""reporting""], ""defining_responsibility_signals"": [""front_desk_operation"", ""night_audit_work""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 232, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Night Shift Hospitality\"", \""defining_skills\"": [\""customer_service\"", \""reservation_management\"", \""reporting\""], \""defining_responsibility_signals\"": [\""front_desk_operation\"", \""night_audit_work\""] , \""confidence\"": \""high\""}""}]",10
233,45,junior,moderate_entry_barrier,Occupational Therapy Assistant,"['Occupational Therapy', 'Assistant', 'COTA']","['Help patients recover', 'Work in facility']",high,1.0,1.0,1.0,1.0,3,"occupational, therapy, assistant, cota, therapist, school, 000, sign, bonus, snf, physical, mentor","[{""community_id"": 233, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Occupational Therapy Assistant"", ""defining_skills"": [""Occupational Therapy"", ""Assistant"", ""COTA""], ""defining_responsibility_signals"": [""Help patients recover"", ""Work in facility""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 233, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Occupational Therapy Assistant\"", \""defining_skills\"": [\""Occupational Therapy\"", \""Assistant\"", \""COTA\""], \""defining_responsibility_signals\"": [\""Help patients recover\"", \""Work in facility\""] , \""confidence\"": \""high\""}""}, {""community_id"": 233, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Occupational Therapy Assistant"", ""defining_skills"": [""Occupational Therapy"", ""Assistant"", ""COTA""], ""defining_responsibility_signals"": [""Help patients recover"", ""Work in facility""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 233, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Occupational Therapy Assistant\"", \""defining_skills\"": [\""Occupational Therapy\"", \""Assistant\"", \""COTA\""], \""defining_responsibility_signals\"": [\""Help patients recover\"", \""Work in facility\""] , \""confidence\"": \""high\""}""}, {""community_id"": 233, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Occupational Therapy Assistant"", ""defining_skills"": [""Occupational Therapy"", ""Assistant"", ""COTA""], ""defining_responsibility_signals"": [""Help patients recover"", ""Work in facility""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 233, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Occupational Therapy Assistant\"", \""defining_skills\"": [\""Occupational Therapy\"", \""Assistant\"", \""COTA\""], \""defining_responsibility_signals\"": [\""Help patients recover\"", \""Work in facility\""] , \""confidence\"": \""high\""}""}]",10
234,44,mid,moderate_entry_barrier,Property Development Finance,"['financial_analysis', 'forecasting', 'capital_projects']","['financial_aspects', 'construction_department']",high,1.0,1.0,0.333,0.778,3,"manager, project, construction, controller, accountant, real, estate, director, financial, specialist, finance, analyst","[{""community_id"": 234, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Property Development Finance"", ""defining_skills"": [""financial_analysis"", ""forecasting"", ""capital_projects""], ""defining_responsibility_signals"": [""financial_aspects"", ""construction_department""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 234, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Property Development Finance\"", \""defining_skills\"": [\""financial_analysis\"", \""forecasting\"", \""capital_projects\""], \""defining_responsibility_signals\"": [\""financial_aspects\"", \""construction_department\""] , \""confidence\"": \""high\""}""}, {""community_id"": 234, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Construction Accounting"", ""defining_skills"": [""financial reporting"", ""budgeting"", ""cost analysis""], ""defining_responsibility_signals"": [""manages financial operations"", ""construction projects""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 234, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Construction Accounting\"", \""defining_skills\"": [\""financial reporting\"", \""budgeting\"", \""cost analysis\""], \""defining_responsibility_signals\"": [\""manages financial operations\"", \""construction projects\""] , \""confidence\"": \""high\""}""}, {""community_id"": 234, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Construction Project Accounting"", ""defining_skills"": [""accounting"", ""project management"", ""finance""], ""defining_responsibility_signals"": [""monitor project progress"", ""investigate variances""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 234, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Construction Project Accounting\"", \""defining_skills\"": [\""accounting\"", \""project management\"", \""finance\""], \""defining_responsibility_signals\"": [\""monitor project progress\"", \""investigate variances\""] , \""confidence\"": \""high\""}""}]",10
