community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
325,36,mid,moderate_entry_barrier,Accounts Payable Specialist/Manager,"['accounts payable', 'collections', 'accounting']","['supervisory experience', 'expense report management']",high,0.667,1.0,0.667,0.778,3,"accounts, payable, specialist, coordinator, manager, supervisor, credit, collections, account, lead, clerk, accounting","[{""community_id"": 325, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounts Payable Specialist/Manager"", ""defining_skills"": [""accounts payable"", ""collections"", ""accounting""], ""defining_responsibility_signals"": [""supervisory experience"", ""expense report management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 325, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounts Payable Specialist/Manager\"", \""defining_skills\"": [\""accounts payable\"", \""collections\"", \""accounting\""], \""defining_responsibility_signals\"": [\""supervisory experience\"", \""expense report management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 325, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounts Payable Specialist/Manager"", ""defining_skills"": [""accounts payable"", ""vendor payments"", ""day-to-day processing""], ""defining_responsibility_signals"": [""manage sequential liability process"", ""oversee day-to-day processing activities""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 325, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounts Payable Specialist/Manager\"", \""defining_skills\"": [\""accounts payable\"", \""vendor payments\"", \""day-to-day processing\""], \""defining_responsibility_signals\"": [\""manage sequential liability process\"", \""oversee day-to-day processing activities\""] , \""confidence\"": \""high\""}""}, {""community_id"": 325, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounts Receivable Collections"", ""defining_skills"": [""collections"", ""accounts receivable"", ""customer follow-up""], ""defining_responsibility_signals"": [""timely collection"", ""regular follow-up""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 325, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounts Receivable Collections\"", \""defining_skills\"": [\""collections\"", \""accounts receivable\"", \""customer follow-up\""], \""defining_responsibility_signals\"": [\""timely collection\"", \""regular follow-up\""] , \""confidence\"": \""high\""}""}]",14
326,36,junior,moderate_entry_barrier,Marketing & Sales,"['marketing', 'sales', 'promotions']","['assistant', 'representative']",high,1.0,1.0,0.667,0.889,3,"marketing, entry, representative, sales, promotions, manager, assistant, sports, minded, specialist, consultant, senior","[{""community_id"": 326, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Marketing & Sales"", ""defining_skills"": [""marketing"", ""sales"", ""promotions""], ""defining_responsibility_signals"": [""assistant"", ""representative""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 326, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Marketing & Sales\"", \""defining_skills\"": [\""marketing\"", \""sales\"", \""promotions\""], \""defining_responsibility_signals\"": [\""assistant\"", \""representative\""] , \""confidence\"": \""high\""}""}, {""community_id"": 326, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Marketing & Sales"", ""defining_skills"": [""marketing"", ""sales"", ""promotions""], ""defining_responsibility_signals"": [""lead_generation"", ""support_sales""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 326, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Marketing & Sales\"", \""defining_skills\"": [\""marketing\"", \""sales\"", \""promotions\""], \""defining_responsibility_signals\"": [\""lead_generation\"", \""support_sales\""] , \""confidence\"": \""high\""}""}, {""community_id"": 326, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Marketing Representatives"", ""defining_skills"": [""sales"", ""promotions"", ""marketing""], ""defining_responsibility_signals"": [""coordinate"", ""design""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 326, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Marketing Representatives\"", \""defining_skills\"": [\""sales\"", \""promotions\"", \""marketing\""], \""defining_responsibility_signals\"": [\""coordinate\"", \""design\""] , \""confidence\"": \""high\""}""}]",14
327,36,mid,moderate_entry_barrier,Supply Chain Operations,"['logistics', 'supply chain', 'operations']","['manager', 'coordinator']",high,1.0,1.0,0.667,0.889,3,"manager, specialist, logistics, supply, chain, operations, air, import, export, international, coordinator, ocean","[{""community_id"": 327, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Operations Specialist"", ""defining_skills"": [""logistics"", ""supply chain"", ""operations""], ""defining_responsibility_signals"": [""air"", ""import/export""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 327, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Operations Specialist\"", \""defining_skills\"": [\""logistics\"", \""supply chain\"", \""operations\""], \""defining_responsibility_signals\"": [\""air\"", \""import/export\""] , \""confidence\"": \""high\""}""}, {""community_id"": 327, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Operations"", ""defining_skills"": [""logistics"", ""supply chain"", ""operations""], ""defining_responsibility_signals"": [""manager"", ""coordinator""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 327, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Operations\"", \""defining_skills\"": [\""logistics\"", \""supply chain\"", \""operations\""], \""defining_responsibility_signals\"": [\""manager\"", \""coordinator\""] , \""confidence\"": \""high\""}""}, {""community_id"": 327, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Supply Chain Operations"", ""defining_skills"": [""logistics"", ""supply chain"", ""operations""], ""defining_responsibility_signals"": [""manager"", ""coordinator""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 327, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Supply Chain Operations\"", \""defining_skills\"": [\""logistics\"", \""supply chain\"", \""operations\""], \""defining_responsibility_signals\"": [\""manager\"", \""coordinator\""] , \""confidence\"": \""high\""}""}]",14
328,36,senior,moderate_entry_barrier,HR Business Partner,"['people management', 'strategic planning', 'employee relations']","['leadership', ""bachelor's degree""]",high,1.0,1.0,0.667,0.889,3,"human, resources, partner, business, manager, senior, director, employee, relations, lead, people, vice","[{""community_id"": 328, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Senior HR Business Partner"", ""defining_skills"": [""people management"", ""strategic planning"", ""employee relations""], ""defining_responsibility_signals"": [""leadership"", ""bachelor's degree""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 328, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Senior HR Business Partner\"", \""defining_skills\"": [\""people management\"", \""strategic planning\"", \""employee relations\""], \""defining_responsibility_signals\"": [\""leadership\"", \""bachelor's degree\""] , \""confidence\"": \""high\""}""}, {""community_id"": 328, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HR Business Partner"", ""defining_skills"": [""strategic_thinking"", ""coaching"", ""collaboration""], ""defining_responsibility_signals"": [""culture_cultivation"", ""problem_solving""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 328, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HR Business Partner\"", \""defining_skills\"": [\""strategic_thinking\"", \""coaching\"", \""collaboration\""], \""defining_responsibility_signals\"": [\""culture_cultivation\"", \""problem_solving\""] , \""confidence\"": \""high\""}""}, {""community_id"": 328, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""HR Business Partner"", ""defining_skills"": [""business acumen"", ""people management"", ""strategic planning""], ""defining_responsibility_signals"": [""leadership"", ""people development""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 328, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""HR Business Partner\"", \""defining_skills\"": [\""business acumen\"", \""people management\"", \""strategic planning\""], \""defining_responsibility_signals\"": [\""leadership\"", \""people development\""] , \""confidence\"": \""high\""}""}]",14
329,36,mid,moderate_entry_barrier,Legal Assistant,"['paralegal', 'administrative', 'secretary']","['personal injury', 'litigation support']",high,1.0,1.0,0.667,0.889,3,"legal, assistant, paralegal, administrative, secretary, law, personal, injury, senior, litigation, clerk, claims","[{""community_id"": 329, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Legal Assistant"", ""defining_skills"": [""paralegal"", ""administrative"", ""secretary""], ""defining_responsibility_signals"": [""personal injury"", ""litigation support""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 329, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Legal Assistant\"", \""defining_skills\"": [\""paralegal\"", \""administrative\"", \""secretary\""], \""defining_responsibility_signals\"": [\""personal injury\"", \""litigation support\""] , \""confidence\"": \""high\""}""}, {""community_id"": 329, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Legal Assistant"", ""defining_skills"": [""transactional documents"", ""commercial leases"", ""administrative support""], ""defining_responsibility_signals"": [""supports legal team"", ""drafts documents""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 329, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Legal Assistant\"", \""defining_skills\"": [\""transactional documents\"", \""commercial leases\"", \""administrative support\""], \""defining_responsibility_signals\"": [\""supports legal team\"", \""drafts documents\""] , \""confidence\"": \""high\""}""}, {""community_id"": 329, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Legal Support"", ""defining_skills"": [""Legal Knowledge"", ""Administrative Tasks"", ""Claims Processing""], ""defining_responsibility_signals"": [""Support Litigation"", ""Assist Paralegals/Lawyers""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 329, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Legal Support\"", \""defining_skills\"": [\""Legal Knowledge\"", \""Administrative Tasks\"", \""Claims Processing\""], \""defining_responsibility_signals\"": [\""Support Litigation\"", \""Assist Paralegals/Lawyers\""] , \""confidence\"": \""high\""}""}]",14
330,36,mid,moderate_entry_barrier,Cybersecurity & Software Engineering,"['project management', 'cybersecurity', 'software engineering']","['requires leadership', ""requires bachelor's degree""]",high,1.0,1.0,0.333,0.778,3,"engineer, software, project, analyst, manager, systems, management, security, engineering, principal, warfare, master","[{""community_id"": 330, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Cybersecurity & Software Engineering"", ""defining_skills"": [""project management"", ""software engineering"", ""cybersecurity""], ""defining_responsibility_signals"": [""requires leadership"", ""requires bachelor's degree""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 330, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Cybersecurity & Software Engineering\"", \""defining_skills\"": [\""project management\"", \""software engineering\"", \""cybersecurity\""], \""defining_responsibility_signals\"": [\""requires leadership\"", \""requires bachelor's degree\""] , \""confidence\"": \""high\""}""}, {""community_id"": 330, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Cybersecurity & Project Management"", ""defining_skills"": [""project management"", ""cybersecurity"", ""security clearance""], ""defining_responsibility_signals"": [""requires_bachelor"", ""requires_security_clearance""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 330, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Cybersecurity & Project Management\"", \""defining_skills\"": [\""project management\"", \""cybersecurity\"", \""security clearance\""], \""defining_responsibility_signals\"": [\""requires_bachelor\"", \""requires_security_clearance\""] , \""confidence\"": \""high\""}""}, {""community_id"": 330, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Software Engineering & Management"", ""defining_skills"": [""software"", ""project"", ""systems""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 330, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Software Engineering & Management\"", \""defining_skills\"": [\""software\"", \""project\"", \""systems\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",14
331,36,junior,moderate_entry_barrier,Healthcare Tech Specialist,"['coding', 'patient care', 'registration']","['visitation', 'screening']",high,1.0,1.0,0.333,0.778,3,"specialist, tech, coding, patient, prn, registration, coordinator, center, manager, visitation, screener, senior","[{""community_id"": 331, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Healthcare Tech Specialist"", ""defining_skills"": [""coding"", ""patient registration"", ""coordination""], ""defining_responsibility_signals"": [""visitation"", ""screening""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 331, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Healthcare Tech Specialist\"", \""defining_skills\"": [\""coding\"", \""patient registration\"", \""coordination\""], \""defining_responsibility_signals\"": [\""visitation\"", \""screening\""] , \""confidence\"": \""high\""}""}, {""community_id"": 331, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Patient Care Coordinator"", ""defining_skills"": [""coding"", ""patient care"", ""registration""], ""defining_responsibility_signals"": [""visitation"", ""screening""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 331, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Patient Care Coordinator\"", \""defining_skills\"": [\""coding\"", \""patient care\"", \""registration\""], \""defining_responsibility_signals\"": [\""visitation\"", \""screening\""] , \""confidence\"": \""high\""}""}, {""community_id"": 331, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Clinical Supply Specialist"", ""defining_skills"": [""coding"", ""patient care"", ""registration""], ""defining_responsibility_signals"": [""discovery"", ""coordination""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 331, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Clinical Supply Specialist\"", \""defining_skills\"": [\""coding\"", \""patient care\"", \""registration\""], \""defining_responsibility_signals\"": [\""discovery\"", \""coordination\""] , \""confidence\"": \""high\""}""}]",14
332,36,junior,moderate_entry_barrier,Merchandiser/Sales,"['order management', 'customer service', 'retail merchandising']","['fulfill merchandising needs', 'customer communication']",high,1.0,1.0,0.667,0.889,3,"merchandiser, nabisco, order, writer, retail, representative, service, stocker, sales, west, new, york","[{""community_id"": 332, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Merchandiser/Stocker"", ""defining_skills"": [""merchandising"", ""stocking"", ""customer communication""], ""defining_responsibility_signals"": [""store shelves maintenance"", ""relationship building""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 332, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Merchandiser/Stocker\"", \""defining_skills\"": [\""merchandising\"", \""stocking\"", \""customer communication\""], \""defining_responsibility_signals\"": [\""store shelves maintenance\"", \""relationship building\""] , \""confidence\"": \""high\""}""}, {""community_id"": 332, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Merchandiser/Sales"", ""defining_skills"": [""order management"", ""customer service"", ""retail merchandising""], ""defining_responsibility_signals"": [""fulfill merchandising needs"", ""customer communication""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 332, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Merchandiser/Sales\"", \""defining_skills\"": [\""order management\"", \""customer service\"", \""retail merchandising\""], \""defining_responsibility_signals\"": [\""fulfill merchandising needs\"", \""customer communication\""] , \""confidence\"": \""high\""}""}, {""community_id"": 332, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Merchandiser/Sales"", ""defining_skills"": [""order management"", ""customer service"", ""retail merchandising""], ""defining_responsibility_signals"": [""fulfill merchandising needs"", ""customer communication""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 332, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Merchandiser/Sales\"", \""defining_skills\"": [\""order management\"", \""customer service\"", \""retail merchandising\""], \""defining_responsibility_signals\"": [\""fulfill merchandising needs\"", \""customer communication\""] , \""confidence\"": \""high\""}""}]",14
333,36,mid,moderate_entry_barrier,Water & Waste Management,"['water treatment', 'wastewater management', 'environmental compliance']","['operational management', 'team leadership']",high,1.0,1.0,1.0,1.0,3,"manager, electric, vehicle, operator, wastewater, environmental, specialist, laborer, water, market, director, battery","[{""community_id"": 333, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Water & Waste Management"", ""defining_skills"": [""water treatment"", ""wastewater management"", ""environmental compliance""], ""defining_responsibility_signals"": [""operational management"", ""team leadership""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 333, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Water & Waste Management\"", \""defining_skills\"": [\""water treatment\"", \""wastewater management\"", \""environmental compliance\""], \""defining_responsibility_signals\"": [\""operational management\"", \""team leadership\""] , \""confidence\"": \""high\""}""}, {""community_id"": 333, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Water & Waste Management"", ""defining_skills"": [""water treatment"", ""waste management"", ""energy management""], ""defining_responsibility_signals"": [""operational"", ""leadership""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 333, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Water & Waste Management\"", \""defining_skills\"": [\""water treatment\"", \""waste management\"", \""energy management\""], \""defining_responsibility_signals\"": [\""operational\"", \""leadership\""] , \""confidence\"": \""high\""}""}, {""community_id"": 333, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Water & Waste Management"", ""defining_skills"": [""water treatment"", ""wastewater management"", ""environmental compliance""], ""defining_responsibility_signals"": [""operational management"", ""team leadership""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 333, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Water & Waste Management\"", \""defining_skills\"": [\""water treatment\"", \""wastewater management\"", \""environmental compliance\""], \""defining_responsibility_signals\"": [\""operational management\"", \""team leadership\""] , \""confidence\"": \""high\""}""}]",14
334,35,mid,moderate_entry_barrier,Nursing,"['medical', 'care', 'nursing']","['leadership', 'certification']",high,1.0,1.0,0.667,0.889,3,"nurse, registered, care, assistant, nursing, oncology, manager, med, surg, hospice, per, medical","[{""community_id"": 334, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing"", ""defining_skills"": [""medical"", ""care"", ""nursing""], ""defining_responsibility_signals"": [""care_coordination"", ""patient_care""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 334, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing\"", \""defining_skills\"": [\""medical\"", \""care\"", \""nursing\""], \""defining_responsibility_signals\"": [\""care_coordination\"", \""patient_care\""] , \""confidence\"": \""high\""}""}, {""community_id"": 334, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing Support"", ""defining_skills"": [""care"", ""medical"", ""nursing""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 334, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing Support\"", \""defining_skills\"": [\""care\"", \""medical\"", \""nursing\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 334, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing"", ""defining_skills"": [""medical"", ""nursing"", ""care""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 334, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing\"", \""defining_skills\"": [\""medical\"", \""nursing\"", \""care\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",14
